diplomatic	外交の、外交上の
sarcasm	皮肉、嘲笑、冷笑
anthem	賛歌、賛美歌
demolition	解体、崩壊、解散
propagate	広める、拡大する
romp	ふざけ回る、遊び回る、馬鹿騒ぎする
obituary	死亡記事、訃報、死亡通知
adjunct	付属物
crusader	十字軍、聖戦
seminary	神学校、神学院
exaggeration	誇張、過大評価
back out	取り消す、約束を破る、撤回する
impetus	運動力、活力、動力
compilation	編集、修正、校正
semiconductor	半導体、電子部品
gut	腸、大腸、小腸
measles	麻疹、発疹
smuggler	密輸業者、密輸人
miscarriage	失敗、流産
bystander	傍観者
epicenter	震源地
improvisation	即興、アドリブ
lineage	系統、体系、系列
recourse	依頼
replace A by B	AをBで置き換える、AをBで代用する、AをBに変える
foreman	親方
rupture	破裂、割れる、爆破
spurn	追い払う、排除する、締め出す
hepatitis	肝炎
classify A as B	AをBに分類する、AをBで仕分けする
pun	駄じゃれ
as it turns out	結局のところ、最終的に、ついに
hallucination	幻覚
arithmetic	算数、算術、計算
pitfall	落とし穴、罠
stunt	発育を妨げる
menopause	閉経、更年期、停止
inhibition	禁止
to be honest	正直に言うと
litigation	訴訟
hull	外皮、船体
exposition	展示会
euthanasia	安楽死
lunatic	精神異常者
obscenity	わいせつ
manifesto	宣言書
absentee	欠席者
locale	現場
manslaughter	過失致死
insurrection	暴動
enclosure	囲い
allow for	を考慮に入れる、余裕を持つ
placate	なだめる
funnel	漏斗
kettle	やかん
pertain	関係する
malpractice	不正行為
dual citizenship	二重国籍
outpatient	外来患者
secede	離脱する
whack	打つ
calculus	結石、微分、積分
inoculation	予防接種
chip in	寄付する、金を出す
piracy	海賊行為
truce	休戦
ruckus	大騒ぎ、騒乱
cardiovascular	心血管の
surrogate	代理人
vial	ガラス瓶
conglomerate	密集した
palatable	美味しい
get in on	加わる、乗り込む
tepid	生ぬるい
annihilate	全滅させる
gruesome	ぞっとする
precarious	不安定な
cervical	頸部の
symmetry	対称
treasurer	会計係
mural	壁の
in fact	実際
consecrate	奉献する
bloated	むくんだ
extradite	引き渡す
complimentary	無料の
corrosive	腐食性の
defiant	反抗的な
palpable	触れることができる
muffle	包む
generalized	一般化された
tinge	色合い
glisten	輝く
exacting	厳しい
hang on	しがみつく、頑張る
flagrant	極悪非道の
nuptial	婚礼の
best for	～にとって最良の
predatory	肉食の
impaired	障害のある
obnoxious	不愉快な
stalwart	堅固な
lock up	刑務所、留置所
stately	風格のある
shoddy	見掛け倒しの
radiant	輝く
glint	きらめく
zest	熱意
requisite	必要な
toxic to	に有毒な
autistic	自閉症の
flit	すいすい飛ぶ
gregarious	群生した
in advance	前もって、あらかじめ
majestic	雄大な
elucidate	解明する
waiver	免除
ailing	病んでいる
perverse	ひねくれた
vogue	流行
venom	毒
ethereal	空気の様に軽やかな
interpretive	解釈の
let out	外に出す、解放する
ultimatum	最終通告
cardiac	心臓の
infrared	赤外線の
posh	豪華な
appellate	上訴の
conflict with	と相容れない、合わない
boldly	大胆に
for once	今回だけ
atone	償う
obese	肥満体の
fluctuate	変動する
defunct	消滅した
incarcerate	投獄する
lax	手ぬるい
grueling	厳しい
supple	柔軟な
fall out of favor with	に嫌われる
idiosyncratic	特異な
perceptual	知覚の
sparse	希薄な
sectarian	宗派の
categorize A as B	AをBの範疇に分ける
tenuous	薄い
stalemate	行き詰まり
whereabouts	どの辺りに
antagonize	敵に回す
gobble	がつがつ食べる
belligerent	好戦的な
ash	灰
outwit	出し抜く
lubricate	潤滑させる
vigilant	警戒した
distraught	取り乱した
synonymous	同義の
sporadic	散発的な
bode	予言する
zinc	亜鉛
dogged	頑固な
inept	不適当な
ventilation	換気
on balance	考慮すると、結局
taut	びんと張ってある
jostle	押し合う
stellar	星の
exude	滲み出させる
thorn	とげ
fleeting	つかの間の
attentive	注意深い
tantalizing	じれったい
walk off with	から歩いて出る、立ち去る
culinary	料理の
natural disaster	自然災害
accentuate	強調する
sordid	むさ苦しい
pilfer	くすねる
assail	暴行する
airborne	空輸の
keep A away from B	AをBから遠ざける
blurt	うっかり話す
encroach	侵入する
as before	以前のように、以前と同等に
engender	醸し出す
condescend	謙遜する
on standby	待機して
distract A from B	Aの気をBからそらす
pulmonary	肺の
notoriously	悪名高く
detract	損なう
remedial	治療する
trivia	些細なこと
discretionary	任意の
pessimistic	悲観的な
inside out	裏返しに、ひっくり返して
pseudo	偽りの
antecedent	先行する
stick to	にくっつく
harrowing	悲惨な
flawless	完璧な
adept	熟達した
bulky	かさばった
glitter	きらきら輝く
intrepid	勇敢な
impersonate	役を演じる
lisp	舌足らずに発音する
taint	腐敗、汚点
deceptive	当てにならない
contextual	文脈上の
grandiose	壮大な
meager	貧弱な
anew	新たに
conceivable	考えられる
verbally	口頭で
pacify	なだめる
turbulent	荒れ狂った
peruse	熟読する
erratic	不安定な
smug	独り善がりの
congregate	集まる
cower	縮み上がる
torrent	急流
uncanny	不気味な
manifest	明白な
abhor	嫌悪する
call on	を訪問する、要求する
moot	議論する
have access to	を利用できる
tremor	震動
squabble	つまらない口論
wand	杖
hydraulic	油圧の
buoyant	浮力のある
sales quota	売上ノルマ
dissect	解剖する
seductive	魅惑的な
stringent	厳格な
overdue	延滞した
ablaze	燃え立っている
aggrieved	感情を害した
jagged	角立った
rustic	田舎の
gritty	砂の入った
flimsy	薄っぺらな
heartfelt	心からの
at fault	落ち度がある、咎められるべき
boisterous	騒々しい
play at	起用する、遊ぶ
whore	売春婦
